State,Population,Housing_Val
Alabama,4874747,121400
Alaska,739795,308400
Arizona,7016270,230900
Arkansas,3004279,116900
California,39536653,521800
Colorado,5607154,350800
Connecticut,3588184,236000
Delaware,961939,236400
District of Columbia,693972,548500
Florida,20984400,214200
Georgia,10429379,166900
Hawaii,1427538,589300
Idaho,1716943,219200
Illinois,12802023,171200
Indiana,6666818,128000
Iowa,3145711,136900
Kansas,2913123,131400
Kentucky,4454189,135000
Louisiana,4684333,142300
Maine,1335907,216600
Maryland,6052177,275800
Massachusetts,6859819,384000
Michigan,9962311,137500
Minnesota,5576606,218700
Mississippi,2984100,117000
Missouri,6113532,147100
Montana,1050493,214500
Nebraska,1920076,152000
Nevada,2998039,258600
New Hampshire,1342795,255100
New Jersey,9005644,306600
New Mexico,2088070,179000
New York,19849399,277400
North Carolina,10273419,167100
North Dakota,755393,203300
Ohio,11658609,129200
Oklahoma,3930864,116400
Oregon,4142776,323000
Pennsylvania,12805537,163300
Rhode Island,1059639,265500
South Carolina,5024369,153100
South Dakota,869666,176200
Tennessee,6715984,151100
Texas,28304596,179500
Utah,3101833,291300
Vermont,623657,194100
Virginia,8470020,246400
Washington,7405743,354700
West Virginia,1815857,92400
Wisconsin,5795483,173600
Wyoming,579315,213000
